word,pos,assigned_cefr,level_source,assigned_level_frequency,total_frequency,crf_A1,crf_A2,crf_B1,crf_B2,crf_C1,crf_C2,crf_total,beacco_A1,beacco_A2,beacco_B1,beacco_B2,beacco_C1,beacco_C2,beacco_total,beacco_level,match_method,crf_word,crf_pos,beacco_word,beacco_pos
manifeste,ADJ,C2,beacco,117.0576,2.5619,0.0,0.0,1.0854,0.0,0.0,117.0576,2.5619,0.0,0.0,0.0,0.0,0.0,19.328,0.1431,C2,word_pos,manifeste,A,manifeste,ADJ
tétrapode,NOUN,C2,beacco,115.473,0.2809,0.0,0.0,0.0,0.0,0.0,115.473,0.2809,0.0,0.0,0.0,0.0,0.0,57.984,0.4293,C2,word_pos,tétrapode,N,tétrapode,NOM
nageoire,NOUN,C2,beacco,105.8503,0.2575,0.0,0.0,0.0,0.0,0.0,105.8503,0.2575,0.0,0.0,0.0,0.0,0.0,57.984,0.4293,C2,word_pos,nageoire,N,nageoire,NOM
percée,NOUN,C2,beacco,101.5791,1.1691,0.0,0.0,0.0,0.0,0.0,101.5791,1.1691,0.0,0.0,0.0,0.0,0.0,19.328,0.1431,C2,word_pos,percée,N,percée,NOM
éclatement,NOUN,C2,beacco,96.2275,1.9214,0.0,0.0,0.0,0.0,6.4168,96.2275,1.9214,0.0,0.0,0.0,0.0,0.0,19.328,0.1431,C2,word_pos,éclatement,N,éclatement,NOM
arabo - musulman,ADJ,C2,crf_first_attested,96.2275,0.2341,0.0,0.0,0.0,0.0,0.0,96.2275,0.2341,,,,,,,,,crf_only,arabo - musulman,A,,
sexiste,ADJ,C2,beacco,90.913,0.2212,0.0,0.0,0.0,0.0,0.0,90.913,0.2212,0.0,0.0,0.0,0.0,0.0,38.4989,0.2926,C2,word_pos,sexiste,A,sexiste,ADJ
mw,NOUN,C2,crf_first_attested,77.9255,0.1896,0.0,0.0,0.0,0.0,0.0,77.9255,0.1896,,,,,,,,,crf_only,mw,N,,
éolien,NOUN,C2,crf_first_attested,77.9255,0.1896,0.0,0.0,0.0,0.0,0.0,77.9255,0.1896,,,,,,,,,crf_only,éolien,N,,
préau,NOUN,C2,beacco,76.982,1.7703,0.0,0.0,0.0,0.0,6.4168,76.982,1.7703,0.0,0.0,0.0,0.0,0.0,38.656,0.2862,C2,word_pos,préau,N,préau,NOM
branchie,NOUN,C2,beacco,76.982,0.1873,0.0,0.0,0.0,0.0,0.0,76.982,0.1873,0.0,0.0,0.0,0.0,0.0,38.656,0.2862,C2,word_pos,branchie,N,branchie,NOM
médiatique,NOUN,C2,crf_first_attested,76.982,0.1873,0.0,0.0,0.0,0.0,0.0,76.982,0.1873,,,,,,,,,crf_only,médiatique,N,,
opercule,NOUN,C2,beacco,76.982,0.1873,0.0,0.0,0.0,0.0,0.0,76.982,0.1873,0.0,0.0,0.0,0.0,0.0,38.656,0.2862,C2,word_pos,opercule,N,opercule,NOM
antenne - relais,NOUN,C2,crf_first_attested,68.1256,0.7527,0.0,0.0,0.0,0.0,0.0,68.1256,0.7527,,,,,,,,,crf_only,antenne - relais,N,,
étale,ADJ,C2,crf_first_attested,68.1256,0.7527,0.0,0.0,0.0,0.0,0.0,68.1256,0.7527,,,,,,,,,crf_only,étale,A,,
colonisé,ADJ,C2,crf_first_attested,67.3593,0.1639,0.0,0.0,0.0,0.0,0.0,67.3593,0.1639,,,,,,,,,crf_only,colonisé,A,,
concurremment,ADV,C2,beacco,67.3593,0.1639,0.0,0.0,0.0,0.0,0.0,67.3593,0.1639,0.0,0.0,0.0,0.0,0.0,19.328,0.1431,C2,word_pos,concurremment,ADV,concurremment,ADV
département d' outre - mer,NOUN,C2,crf_first_attested,67.3593,0.1639,0.0,0.0,0.0,0.0,0.0,67.3593,0.1639,,,,,,,,,crf_only,département d' outre - mer,N,,
oxydatif,ADJ,C2,crf_first_attested,67.3593,0.1639,0.0,0.0,0.0,0.0,0.0,67.3593,0.1639,,,,,,,,,crf_only,oxydatif,A,,
selon que,CONJ,C2,crf_first_attested,67.3593,0.1639,0.0,0.0,0.0,0.0,0.0,67.3593,0.1639,,,,,,,,,crf_only,selon que,CONJS,,
pulmonaire,ADJ,C2,beacco,64.9379,0.158,0.0,0.0,0.0,0.0,0.0,64.9379,0.158,0.0,0.0,0.0,0.0,0.0,25.6659,0.1951,C2,word_pos,pulmonaire,A,pulmonaire,ADJ
cardiovasculaire,ADJ,C2,crf_first_attested,64.3237,0.5687,0.0,0.0,0.0,0.0,0.0,64.3237,0.5687,,,,,,,,,crf_only,cardiovasculaire,A,,
décisionnel,ADJ,C2,beacco,58.4441,0.1422,0.0,0.0,0.0,0.0,0.0,58.4441,0.1422,0.0,0.0,0.0,0.0,0.0,38.4989,0.2926,C2,word_pos,décisionnel,A,décisionnel,ADJ
peul,ADJ,C2,beacco,57.7365,1.4964,0.0,0.6342,0.0,0.0,0.0,57.7365,1.4964,0.0,0.0,0.0,0.0,0.0,19.328,0.1431,C2,word_pos,peul,A,peul,ADJ
colonisé,NOUN,C2,crf_first_attested,57.7365,0.1404,0.0,0.0,0.0,0.0,0.0,57.7365,0.1404,,,,,,,,,crf_only,colonisé,N,,
corticoïde,NOUN,C2,crf_first_attested,57.7365,0.1404,0.0,0.0,0.0,0.0,0.0,57.7365,0.1404,,,,,,,,,crf_only,corticoïde,N,,
